shipment_id,order_datetime,order_weekday,order_hour,dispatch_datetime,dispatch_weekday,dispatch_hour,order_before_cutoff,warehouse_id,warehouse_city,warehouse_daily_load_index,destination_postcode,destination_city,destination_region,destination_area_type,special_island_delivery,distance_km,carrier,package_weight_kg,package_volume_liters,is_bulky,is_fragile,is_weekend_related,is_peak_season,is_delayed
SHP0000004,2025-01-21 21:48:25,Tuesday,21,2025-01-22 20:48:00,Wednesday,20,0,HTA,Høje Taastrup,1.2,4100,Ringsted,Sjælland,urban,0,45.0,Carrier_A,0.8,11.8,0,0,0,0,0
SHP0000005,2025-12-13 13:05:54,Saturday,13,2025-12-15 18:42:00,Monday,18,0,HTA,Høje Taastrup,1.35,2700,Brønshøj,Hovedstaden,urban,0,24.8,Carrier_C,2.35,24.5,0,0,1,1,1
SHP0000007,2025-12-18 15:45:40,Thursday,15,2025-12-19 19:20:00,Friday,19,0,AAR,Aarhus,1.44,8500,Grenaa,Midtjylland,urban,0,55.8,Carrier_C,1.33,9.4,0,0,1,1,1
SHP0000009,2025-11-24 10:41:59,Monday,10,2025-11-24 18:18:00,Monday,18,1,AAR,Aarhus,1.32,7160,Tørring,Syddanmark,rural,0,85.5,Carrier_C,0.78,5.8,0,0,0,1,0
SHP0000013,2025-11-20 19:59:47,Thursday,19,2025-11-21 17:21:00,Friday,17,0,ODE,Odense,1.34,4760,Vordingborg,Sjælland,suburban,0,118.1,Carrier_C,3.88,38.7,0,0,1,1,0
SHP0000014,2025-06-24 20:09:06,Tuesday,20,2025-06-25 19:40:00,Wednesday,19,0,AAL,Aalborg,0.98,8382,Hinnerup,Midtjylland,suburban,0,116.1,Carrier_B,1.05,17.2,0,0,0,0,0
SHP0000019,2025-12-05 11:38:16,Friday,11,2025-12-05 17:56:00,Friday,17,1,AAL,Aalborg,1.26,9900,Frederikshavn,Nordjylland,urban,0,76.9,Carrier_B,8.05,39.0,0,0,1,1,1
SHP0000026,2025-09-17 19:53:36,Wednesday,19,2025-09-18 19:05:00,Thursday,19,0,AAR,Aarhus,0.97,7470,Karup J,Midtjylland,rural,0,95.4,Carrier_B,2.71,25.1,0,0,0,0,0
SHP0000027,2025-09-09 13:57:33,Tuesday,13,2025-09-09 17:09:00,Tuesday,17,1,AAL,Aalborg,0.96,9000,Aalborg,Nordjylland,urban,0,7.6,Carrier_B,1.7,18.2,0,0,0,0,0
SHP0000029,2025-10-31 20:50:16,Friday,20,2025-11-03 17:59:00,Monday,17,0,ODE,Odense,0.98,4400,Kalundborg,Sjælland,urban,0,71.1,Carrier_A,3.2,32.5,0,0,1,0,1
